STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hhtyp,Type of household,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2017,,88.82,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2018,,89.53,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2019,,90.71,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2020,,92.40,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2021,,93.78,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2022,,95.88,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2023,,94.92,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2024,,95.11,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FI,Finland,2025,,96.31,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2016,,73.51,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2017,,73.76,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2018,,77.91,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2019,,81.61,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2021,,86.01,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2022,,86.33,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2023,,87.08,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2024,,89.73,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,FR,France,2025,,89.81,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2016,,39.25,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2017,,32.21,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2018,,49.78,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2019,,43.31,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2020,,64.09,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2021,,62.82,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,HR,Croatia,2022,,64.21,,,,,
